Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
54;5.0119;3146.02149752909;10652.2393610864;11107.0992913898;73.5460752415396;120.188224696554
55;3.9811;3825.66610693472;12857.5939012969;13414.6726420147;73.4300807752637;122.633268690381
56;3.1623;4630.43316276404;15523.5655804084;16199.4444226975;73.3909932102569;125.513322683109
57;2.5119;5613.05186310274;18742.3119397259;19564.779785724;73.3278008850506;129.218394673755
58;1.9953;6804.52483732937;22627.0735564584;23628.0768576541;73.2626581108707;131.893442667001
59;1.5849;8250.89778178113;27310.1466062765;28529.3081209783;73.1894672615597;134.618491660121
60;1.2589;10021.3718479793;32935.9229019587;34426.7760779199;73.0766340482301;137.503544652837
61;1;12222.4417612261;39862.7295452409;41694.4275581712;72.9537656117913;142.558640640074
62;0.79433;14922.3901408533;48320.6971182827;50572.398573853;72.8382739763128;149.843774621681
63;0.63096;18186.482510771;58339.1512301281;61108.139493576;72.6858018860118;155.663884606986
64;0.50119;22153.8247747914;70457.483079392;73858.3026750207;72.5453781016184;162.45900858983
65;0.39811;27120.135442729;85038.6013178035;89258.4195497562;72.3117070412597;169.94914657092
66;0.31623;33276.2812348442;102675.322724915;107933.001392002;72.0428899649235;178.59930954908
67;0.25119;40758.735132627;123659.773240671;130203.740374637;71.7575820805381;188.709493523554
68;0.19953;49929.1584144742;149020.793262979;157162.710859495;71.4766641453364;200.669715493358
69;0.15849;61757.4442959292;180071.330440254;190367.187226391;71.0700308867646;215.094984456937
70;0.12589;75677.0239666835;216822.272053065;229649.536500092;70.7595873279367;232.440303413145
71;0.1;94563.9631404351;260764.850063196;277381.776894782;70.0672914588409;253.490694359998
