Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
29;1584.9;73.9466559649382;67.3868627978216;100.045475690455;42.3426054353556;58.6320818519682
30;1258.9;77.5108026560448;81.3521078234379;112.365875494745;46.3851420363782;60.012109848484
31;1000;81.7673010519569;98.4237541468802;127.95751991066;50.2812838430739;61.4321358448988
32;794.33;86.9045367613157;119.282572682942;147.582961941954;53.9244081622754;62.9321638411116
33;630.96;93.1589034661635;144.752166161789;172.138812891074;57.2356724109508;64.4121908373749
34;501.19;100.764690065044;175.794144856437;202.625526846225;60.1787912246484;65.8472178337518
35;398.11;110.136967220868;213.691168608777;240.403966460613;62.7333073324378;68.2722618276291
36;316.23;121.60727244187;259.76992092652;286.825278748094;64.9140827422087;70.5473048218852
37;251.19;135.621145922383;315.605399706279;343.511082128453;66.7459595338935;72.8573478160529
38;199.53;152.981608336079;383.679126062704;413.05331891335;68.2617038286727;75.1273888103216
39;158.49;174.297483806247;466.12230358045;497.644064323422;69.4976818386767;76.4274118070393
40;125.89;200.848065664855;566.953788590818;601.478631273627;70.4928883455787;79.5624727991241
41;100;233.131287295669;688.308352171782;726.717678872318;71.2886663113996;81.3075037947183
42;79.433;273.049704448838;834.919529647169;878.434267367711;71.8903322951475;83.657547788785
43;63.096;323.169209988067;1010.11529770383;1060.55233389947;72.2588110675017;84.987570785427
44;50.119;381.854721444912;1227.54946345588;1285.57019004043;72.7206105572496;94.8377567605577
45;39.811;455.215671474304;1486.7123181716;1554.84237932949;72.9759629330605;104.047924737304
46;31.623;545.452201850958;1799.21457473778;1880.07744267434;73.1347279647499;106.737973730513
47;25.119;652.490556074518;2176.25936203074;2271.97023232984;73.310109844664;108.358002726422
48;19.953;784.406822300085;2631.21521387739;2745.64884218845;73.3998500304877;110.45804172112
49;15.849;942.659340399218;3179.75317710913;3316.53989865605;73.4871868351055;113.308095713925
50;12.589;1134.63785677767;3846.88238998334;4010.72402296604;73.5665776779899;115.193128709165
51;10;1368.49558361516;4643.1360659404;4840.60871060765;73.5778996738367;117.553175703207
52;7.9433;1639.37984502794;5598.34278789687;5833.43880117729;73.678224672572;122.433267690886
53;6.3096;1977.8971654676;6759.28914357241;7042.73149591695;73.6895156210424;124.833310684826
54;5.0119;2393.80529634265;8169.94598451571;8513.42006403434;73.6693436598718;127.423355678287
55;3.9811;2884.18031567284;9870.03294517295;10282.8034325331;73.7107992806334;131.058424669109
56;3.1623;3476.43309851959;11925.133519485;12421.5295574267;73.7474596691134;133.583471662734
57;2.5119;4187.30120183474;14410.1378737165;15006.1842216602;73.7971799162553;136.268521655955
58;1.9953;5050.55372006152;17398.3934680898;18116.62739446;73.8125941049181;139.058574648911
59;1.5849;6101.00227039202;21039.2534390514;21905.990367385;73.8287986382525;141.963624641576
60;1.2589;7358.28853406055;25415.0145411062;26458.7863341297;73.8529349880986;146.583711629912
61;1;8935.69749678155;30801.1875517318;32071.1684282152;73.8220876373002;155.173871608224
62;0.79433;10809.1435054858;37246.807614171;38783.5307929701;73.8171011844004;160.568970594602
63;0.63096;13078.5081961149;45017.4503419345;46878.7607763301;73.8003170700735;166.539081579529
64;0.50119;15897.7936452726;54553.8347280349;56823.0650908715;73.7530968597589;175.809253556124
65;0.39811;19262.7344328829;65913.4792824064;68670.5154265205;73.7093822341796;183.179391537516
66;0.31623;23384.4960896279;79644.0913471724;83006.119918248;73.6371048393273;191.954552515361
67;0.25119;28384.2482592507;96191.3745011886;100291.804638618;73.5596707553134;202.204742489482
68;0.19953;34515.491174031;116167.221488568;121186.395603461;73.4523140387045;214.344967458831
69;0.15849;41814.6960648385;140341.685508751;146438.579269371;73.4086155113706;228.79023442236
70;0.12589;50818.4039180211;169589.309203034;177039.66779436;73.3188553533518;246.200556378403
71;0.1;61783.4311042932;204352.270468409;213487.804814731;73.1779447548353;267.245947325269
