Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;43.778928077386;30.5781555788994;53.400544399962;34.9330451832989;10.2561899741056
2;794330;47.8701179432971;24.4080236074152;53.7336003663007;27.0161324947902;12.4062289686773
3;630960;49.6493052153951;19.1670946263731;53.2205883543935;21.1090618066861;13.9962579646628
4;501190;50.7702716056792;14.9500416851399;52.9256480857992;16.4078285689425;15.7262889602949
5;398110;51.2158632541925;11.5888711305092;52.5106330465716;12.7498983155579;17.3563199561795
6;316230;51.2537722738235;9.10814182758961;52.0567711239225;10.0766536021436;19.916365949716
7;251190;51.0270083609142;7.33705895084131;51.5517993508755;8.18234924951424;23.2464279413084
8;199530;50.823475936256;6.23176467698336;51.2041072301089;6.99047803308584;24.7114549376096
9;158490;50.6684623641831;5.60360550964479;50.9773819753267;6.31089808075581;26.2214819337971
10;125890;50.6291958889924;5.35700102985752;50.9118152927183;6.03990954726519;27.7015109300604
11;100000;50.6619780352063;5.39241010705312;50.9481511460659;6.07563005802986;30.0465539241397
12;79433;50.8754817512938;5.68397085774045;51.1920127377101;6.37483098932137;31.3565769208323
13;63096;51.2076131409256;6.18974655074908;51.5803509677203;6.89221943037708;32.776607917247
14;50119;51.671574155413;6.87140626998352;52.1264596901181;7.57488267415288;34.2266329135861
15;39811;52.2805815693955;7.74800200850275;52.8515916918117;8.42989734189652;35.6766589099251
16;31623;52.9892262231267;8.78323874688347;53.7122274590289;9.41150185625949;37.1566859061884
17;25119;53.8324539866018;10.0009540534684;54.7535586441574;10.5243835128164;38.5917109025653
18;19953;54.7857959748512;11.4154528600934;55.9624517386349;11.7700383204546;40.0117378989801
19;15849;55.8312092159364;13.0590114383579;57.3381347992837;13.1648987709825;42.3067808931856
20;12589;56.967862411287;15.0073668946062;58.9114454823564;14.7584462801905;43.6468048898024
21;10000;58.1050635366414;17.3098682298024;60.6286231637356;16.5891290964454;45.981851883907
22;7943.3;59.4291071267833;20.1192401795026;62.7423509225404;18.7031115307229;47.3468738804606
23;6309.6;60.8607740058824;23.5341607499881;65.2525136282226;21.1409125128908;48.7969028767997
24;5011.9;62.4267578175467;27.7044753267598;68.2981555002891;23.931249632643;50.2469268731387
25;3981.1;64.1655329703311;32.8077503486387;72.0663867854164;27.0805991437156;51.6669528695535
26;3162.3;66.1212258259206;39.03722762291;76.78490506086;30.5571241998918;53.0869818659683
27;2511.9;68.3505675336124;46.6515578098618;82.7536580959041;34.3148492170889;54.5670098622315
28;1995.3;70.9384720027291;55.9783109069737;90.3650269854427;38.2773506369275;57.4370628549854
